,cars_semaphore_delay,cars_delay,walker_semaphore_delay,walkers_delay
0,4.03,35.84,2.86,29.57
1,2.68,24.65,2.12,21.86
2,3.89,20.67,0.96,25.77
3,4.77,24.39,3.03,13.76
4,1.59,22.94,3.33,14.79
5,1.31,36.68,-0.17,20.79
6,3.88,20.83,4.18,21.67
7,3.35,38.62,0.47,16.39
8,4.61,40.95,2.29,12.83
9,4.58,36.98,1.09,19.26
10,2.75,33.99,2.39,12.94
11,2.87,28.43,2.58,27.01
12,3.28,35.07,1.17,24.59
13,4.21,27.13,1.55,22.72
14,3.34,24.92,1.37,15.7
15,0.87,36.75,1.54,15.82
16,3.97,23.32,1.01,14.09
17,1.9,33.55,1.92,23.74
18,3.12,21.45,1.73,29.9
19,2.72,28.38,1.85,11.38
20,2.56,19.75,2.58,23.14
21,1.67,27.62,2.63,21.36
22,3.32,30.92,3.28,29.39
23,3.82,32.47,2.17,14.35
24,2.67,32.34,4.02,23.63
25,1.87,32.31,2.0,11.97
26,4.82,26.5,1.11,18.36
27,4.35,25.35,2.86,16.38
28,3.48,34.39,2.03,13.13
29,1.65,41.16,2.61,30.34
30,3.08,18.6,0.95,19.06
31,1.68,32.54,1.09,17.56
32,1.0,26.95,2.06,27.02
33,3.93,32.74,2.26,21.32
34,1.77,29.64,2.93,10.84
35,3.73,30.46,1.57,19.36
36,3.85,24.98,2.0,26.31
37,2.51,25.86,2.01,13.7
38,1.67,41.75,0.53,9.65
39,1.25,46.94,2.05,27.64
40,4.5,43.41,1.65,25.36
41,4.01,25.41,0.58,13.47
42,2.72,26.81,1.95,23.14
43,4.17,26.04,2.89,25.27
44,3.74,25.37,3.05,18.73
45,1.5,31.44,2.95,17.35
46,2.49,37.98,2.92,22.05
47,3.0,22.35,3.15,27.85
48,4.06,34.99,1.32,22.86
49,2.91,17.16,1.14,20.21
50,3.81,42.26,3.1,18.12
51,3.68,23.67,1.45,20.21
52,3.33,31.76,0.18,15.33
53,3.42,23.13,1.67,19.24
54,4.87,36.71,2.33,21.71
55,3.12,30.04,2.83,15.46
56,3.02,29.21,2.53,19.36
57,2.37,28.29,1.74,15.54
58,3.18,26.5,2.9,23.71
59,1.87,36.5,1.02,18.9
60,4.69,27.59,1.88,19.38
61,3.78,22.59,0.76,11.54
62,3.34,30.19,3.22,15.38
63,2.87,41.62,3.08,27.65
64,3.73,37.06,1.34,17.9
65,2.58,15.59,1.29,12.46
66,4.23,35.54,1.99,30.01
67,3.48,25.4,-1.56,7.36
68,3.6,16.94,1.08,25.58
69,3.25,31.25,4.77,28.21
70,3.37,24.8,2.02,12.92
71,3.57,23.29,3.26,26.17
72,2.98,20.29,2.18,25.85
73,3.73,31.46,2.5,17.08
74,3.41,34.55,2.68,19.16
75,3.54,31.65,1.93,23.71
76,2.11,17.12,1.83,16.64
77,5.63,39.22,2.12,19.17
78,3.97,25.52,2.17,18.17
79,3.9,23.64,1.39,15.37
80,3.46,37.26,2.04,15.97
81,4.38,32.46,1.63,15.85
82,2.12,30.21,0.19,22.28
83,3.53,32.09,2.37,17.69
84,3.19,23.7,2.01,16.45
85,2.67,28.75,0.97,18.24
86,3.12,25.61,2.5,20.43
87,1.85,44.36,2.47,20.15
88,2.96,38.33,2.48,17.97
89,3.28,34.37,0.89,20.9
90,4.45,22.42,2.06,16.07
91,2.47,32.13,1.68,24.63
92,3.78,35.11,1.45,14.7
93,3.58,38.14,1.19,11.34
94,3.73,28.45,2.38,10.85
95,3.17,25.42,3.04,16.05
96,3.48,39.97,0.98,25.46
97,2.91,26.65,1.79,17.24
98,3.57,33.02,2.08,30.26
99,1.25,31.95,2.42,16.64
100,2.67,19.12,3.82,20.02
101,3.06,32.07,3.15,18.99
102,2.95,25.1,3.7,15.05
103,2.28,28.02,0.64,21.1
104,5.53,28.39,1.14,21.27
105,3.24,13.71,3.21,25.13
106,4.35,22.9,2.25,16.12
107,3.67,12.52,0.54,19.56
108,2.15,28.9,0.72,12.55
109,2.92,21.53,-0.1,22.53
110,3.05,28.9,1.83,19.56
111,2.98,34.03,1.66,22.88
112,3.98,28.72,3.4,22.45
113,2.7,23.76,2.45,18.13
114,3.42,23.97,1.13,21.28
115,2.73,33.23,2.73,16.81
116,2.94,21.08,2.33,28.74
117,4.26,35.68,2.41,21.54
118,3.81,26.23,1.16,21.29
119,1.3,24.53,1.65,21.95
120,2.4,24.63,0.49,22.98
121,3.74,32.72,3.96,22.1
122,0.8,30.24,1.09,25.61
123,2.4,28.37,3.49,25.99
124,2.94,35.32,1.07,11.97
125,2.42,22.38,4.33,22.53
126,2.14,26.68,0.93,26.75
127,2.68,45.05,2.28,14.42
128,3.41,35.35,0.98,21.38
129,3.61,31.41,2.41,14.8
130,3.84,29.27,1.43,21.46
131,1.84,41.39,2.88,14.44
132,3.51,38.24,1.38,22.3
133,4.72,25.02,1.98,14.97
134,1.52,31.11,2.8,26.92
135,2.26,28.8,1.24,18.29
136,4.01,36.06,2.29,19.72
137,3.08,20.63,2.63,18.45
138,2.7,40.25,2.61,18.2
139,3.42,34.19,-1.11,21.81
140,5.08,26.55,1.7,27.64
141,2.43,18.97,3.15,21.06
142,2.9,26.68,1.87,20.04
143,4.15,21.59,1.13,13.75
144,3.21,23.16,2.06,13.01
145,2.74,24.8,2.17,17.3
146,3.52,33.4,3.25,19.32
147,3.34,38.99,1.74,15.5
148,2.25,26.35,2.89,24.14
149,4.38,25.22,2.43,24.08
150,2.92,19.1,3.25,19.77
151,3.86,33.1,0.39,12.69
152,3.15,35.24,0.83,29.91
153,2.94,21.99,1.68,25.97
154,4.65,26.16,-0.0,22.86
155,3.55,40.03,3.36,23.71
156,1.67,39.57,1.83,13.47
157,2.67,45.2,2.48,19.82
158,2.03,32.0,2.28,22.84
159,2.28,18.87,2.91,27.22
160,6.18,31.52,2.5,21.34
161,2.9,32.22,2.26,10.73
162,0.91,34.85,0.86,17.42
163,4.73,23.85,-0.55,14.01
164,2.55,31.58,1.98,15.99
165,2.21,43.63,2.62,21.44
166,2.71,39.23,3.09,16.58
167,4.91,33.09,1.4,25.84
168,4.04,41.08,1.73,18.63
169,2.08,25.6,2.66,18.42
170,3.44,39.25,1.88,22.54
171,3.68,18.87,1.55,19.0
172,3.45,38.23,2.74,12.8
173,2.73,32.16,2.29,19.1
174,3.29,23.44,3.14,25.6
175,3.23,29.85,2.25,18.18
176,4.36,44.38,3.39,23.53
177,2.82,16.33,1.76,28.3
178,3.48,26.21,2.82,19.06
179,4.15,28.95,1.84,18.93
180,3.58,14.15,2.71,24.68
181,2.28,18.64,3.44,14.46
182,2.32,18.8,1.68,17.79
183,1.22,38.06,2.69,6.7
184,1.6,49.15,3.88,21.3
185,2.59,24.34,0.97,19.43
186,2.99,28.87,2.31,18.97
187,1.87,22.37,3.28,8.65
188,3.18,26.45,0.72,25.97
189,1.8,38.52,1.67,16.18
190,3.37,16.8,3.14,25.79
191,2.16,36.77,1.11,23.2
192,2.18,31.08,2.11,14.37
193,3.54,26.85,0.47,23.69
194,3.32,28.61,4.03,18.55
195,1.78,25.51,0.99,23.99
196,2.44,28.12,1.89,19.63
197,1.96,31.92,2.54,27.4
198,5.69,27.26,2.63,17.88
199,3.92,30.67,0.45,27.39
200,1.44,39.4,2.19,14.16
201,4.24,35.58,3.14,38.48
202,3.34,26.24,2.68,23.08
203,4.98,22.66,3.73,20.44
204,2.23,33.88,2.27,23.36
205,2.61,40.09,2.08,21.6
206,1.93,23.78,2.41,15.64
207,2.07,25.89,-1.0,16.54
208,2.39,29.15,1.94,14.06
209,0.47,31.28,2.83,25.09
210,3.87,37.5,2.37,20.21
211,2.71,32.24,1.22,20.32
212,2.99,41.48,2.52,23.26
213,1.51,23.25,1.49,22.42
214,1.45,25.8,1.29,18.85
215,1.95,22.21,2.07,15.81
216,4.34,24.05,1.36,21.44
217,3.84,35.56,0.33,23.79
218,2.63,31.64,0.92,14.96
219,2.04,35.72,3.66,26.24
220,4.51,27.86,1.72,21.87
221,3.16,24.11,2.34,19.1
222,4.76,24.54,3.26,25.02
223,2.53,32.83,1.91,14.59
224,2.71,27.88,1.07,28.46
225,3.32,38.99,-0.53,24.87
226,1.9,29.57,1.61,12.96
227,1.33,37.36,2.42,20.1
228,2.67,25.76,0.97,18.1
229,3.06,32.6,3.76,25.14
230,3.08,31.24,3.21,13.08
231,3.38,26.56,1.9,24.39
232,2.99,42.39,2.66,17.72
233,2.62,35.43,2.98,23.63
234,3.01,23.24,2.34,14.51
235,4.82,31.56,1.74,12.11
236,3.08,25.99,2.32,24.49
237,3.83,36.31,1.92,24.56
238,3.52,29.47,2.95,11.5
239,1.51,29.31,1.09,17.33
240,2.04,30.62,1.52,25.62
241,3.03,42.87,2.73,12.91
242,3.65,27.37,2.19,17.02
243,3.74,24.61,2.03,19.9
244,3.6,28.97,4.83,20.49
245,4.22,33.76,2.41,23.89
246,3.17,30.06,2.54,25.86
247,2.6,42.55,0.15,16.86
248,-0.12,25.02,3.04,21.05
249,4.65,34.88,1.77,17.54
250,3.46,31.85,0.39,29.87
251,1.95,29.72,0.98,20.69
252,3.93,34.94,2.2,23.25
253,2.36,35.08,2.0,20.61
254,2.83,24.8,2.4,23.47
255,2.49,28.27,1.83,18.55
256,1.14,38.17,2.27,14.67
257,2.3,20.66,1.23,29.3
258,3.48,30.2,1.85,32.75
259,1.79,41.36,1.92,19.76
260,2.73,28.74,0.01,9.72
261,2.91,12.01,1.55,24.75
262,2.95,19.13,1.55,28.53
263,2.96,34.96,0.63,19.68
264,2.28,34.62,1.81,22.2
265,2.18,36.91,2.84,22.17
266,4.06,22.44,2.43,18.55
267,4.1,25.81,1.14,12.83
268,4.35,28.86,1.86,17.81
269,2.47,41.13,1.59,22.47
270,2.36,36.35,0.01,24.06
271,1.68,35.25,2.74,21.94
272,3.05,47.46,1.43,14.68
273,3.26,16.76,3.2,14.78
274,2.63,23.87,2.33,22.06
275,2.9,38.13,1.0,22.44
276,2.87,26.52,2.04,25.54
277,4.73,28.69,1.82,25.19
278,5.85,25.23,2.48,18.06
279,3.03,33.35,2.08,19.83
280,2.02,31.99,2.88,13.2
281,3.64,30.75,2.51,19.95
282,2.46,33.03,-0.23,17.22
283,2.91,33.08,0.85,20.37
284,1.54,20.37,1.96,14.34
285,4.02,30.58,1.16,17.64
286,3.33,34.71,3.96,21.5
287,2.66,25.09,3.03,18.35
288,2.2,25.51,1.44,21.33
289,4.2,28.77,0.68,33.41
290,2.11,30.24,1.23,21.52
291,3.27,29.53,2.3,21.53
292,1.56,30.26,1.98,26.04
293,3.83,36.37,3.28,19.21
294,3.06,18.96,3.03,17.73
295,3.15,22.58,1.82,23.97
296,3.39,29.71,1.11,15.76
297,5.16,20.3,0.45,27.21
298,2.89,28.1,-0.17,21.25
299,2.77,30.39,0.14,24.95
300,2.7,37.86,1.8,21.1
301,2.76,27.06,1.43,17.93
302,3.66,20.43,1.89,21.58
303,3.86,28.36,3.38,13.83
304,4.81,24.76,2.43,23.86
305,1.26,45.3,1.92,13.8
306,0.53,34.97,1.23,17.19
307,2.06,29.03,1.18,22.99
