,cars_semaphore_delay,cars_delay,walker_semaphore_delay,walkers_delay
0,2.24,26.23,2.41,19.61
1,2.94,31.3,1.51,13.22
2,2.56,23.03,1.77,13.06
3,2.19,25.29,3.0,23.99
4,2.29,31.95,1.51,26.56
5,1.79,30.2,1.35,18.28
6,1.84,28.54,1.09,24.08
7,2.56,24.37,1.93,18.73
8,3.11,26.45,1.46,16.09
9,3.57,30.84,2.57,23.14
10,2.54,33.92,2.94,16.36
11,3.0,24.55,1.73,14.65
12,3.77,40.97,3.01,22.43
13,2.67,35.61,2.55,12.92
14,3.53,22.95,3.15,14.69
15,2.95,41.88,2.08,14.36
16,2.3,31.86,1.89,13.88
17,4.16,38.88,2.03,19.08
18,0.86,31.67,2.1,24.84
19,2.48,28.87,1.8,29.23
20,1.04,38.29,1.42,26.74
21,2.98,22.29,1.38,21.09
22,2.57,19.6,2.36,23.32
23,3.09,25.26,3.15,14.77
24,3.03,30.94,2.5,14.68
25,1.92,37.08,0.62,11.86
26,3.9,33.45,0.72,20.37
27,4.7,32.05,1.2,20.49
28,2.11,24.27,3.53,9.1
29,2.37,34.68,2.58,15.53
30,4.35,31.03,1.15,18.78
31,3.17,25.02,3.45,10.16
32,2.92,33.1,0.9,26.19
33,3.39,23.53,2.52,26.77
34,2.63,33.81,2.33,20.61
35,2.05,21.4,0.73,32.26
36,3.2,28.17,1.38,16.94
37,1.0,24.21,2.27,22.53
38,3.23,39.36,3.9,22.72
39,1.32,44.74,2.88,20.91
40,3.21,23.01,0.37,9.61
41,2.06,33.77,3.33,11.83
42,2.46,34.8,1.18,21.36
43,2.24,32.3,2.57,14.94
44,2.59,26.31,0.32,21.72
45,3.66,32.28,3.29,24.39
46,2.94,33.66,0.85,16.85
47,2.01,31.05,3.66,18.79
48,2.48,30.58,2.16,23.57
49,4.02,29.69,3.6,23.35
50,3.39,39.07,1.36,20.86
51,3.99,45.82,3.15,19.13
52,2.4,29.67,1.95,15.06
53,2.23,37.63,2.38,16.52
54,4.28,21.94,2.68,20.07
55,2.68,22.29,1.78,26.73
56,3.83,25.51,1.29,15.85
57,3.9,24.86,1.2,21.59
58,4.12,34.69,0.5,17.77
59,3.59,37.23,3.26,19.09
60,3.33,22.76,2.55,24.96
61,5.49,29.54,1.9,23.47
62,1.47,21.94,0.92,22.39
63,3.44,26.04,1.53,23.87
64,3.78,23.24,1.46,16.29
65,2.23,26.19,1.97,17.93
66,2.9,43.13,3.21,23.18
67,3.0,27.79,2.48,15.73
68,2.36,26.54,2.15,28.36
69,3.34,40.39,1.33,19.55
70,4.19,41.12,2.88,17.98
71,3.43,40.36,1.6,16.45
72,3.75,24.07,1.37,25.28
73,3.82,29.43,1.2,29.83
74,0.47,43.79,2.46,22.74
75,3.12,36.07,-1.16,14.85
76,1.79,42.44,1.15,20.52
77,2.1,35.8,0.7,22.87
78,2.75,42.16,1.3,15.94
79,2.94,42.29,1.53,14.03
80,3.31,22.96,0.1,23.96
81,5.43,39.64,1.08,30.39
82,1.18,39.05,2.22,10.26
83,2.15,35.21,1.41,15.68
84,3.19,32.78,1.83,25.44
85,1.8,29.21,0.84,18.09
86,1.81,29.42,2.71,28.65
87,2.76,25.12,-0.76,22.35
88,2.34,29.4,3.75,23.15
89,4.37,26.1,1.77,15.71
90,4.4,21.45,2.97,26.81
91,4.21,39.72,1.43,13.22
92,2.94,15.88,3.19,21.59
93,2.87,31.8,3.06,23.76
94,1.16,34.15,1.84,15.93
95,3.42,15.9,1.92,22.29
96,4.29,40.53,1.9,18.35
97,2.64,30.29,1.32,24.45
98,4.2,29.34,1.18,29.56
99,3.54,14.59,2.68,20.13
100,2.74,21.36,1.86,20.52
101,1.18,28.0,2.02,19.57
102,3.8,32.04,3.17,20.99
103,3.58,21.72,2.72,13.42
104,4.63,31.34,2.87,13.81
105,3.97,22.45,1.61,21.16
106,3.32,32.74,2.94,16.9
107,3.91,28.68,3.0,17.63
108,3.17,21.52,2.35,24.0
109,3.5,28.38,4.69,19.9
110,1.98,34.92,3.01,22.29
111,4.62,21.48,2.08,10.65
112,3.29,29.23,2.4,24.25
113,2.94,41.44,1.77,18.73
114,2.73,46.71,2.13,35.13
115,3.14,26.1,0.92,17.94
116,1.76,42.55,1.35,23.84
117,1.38,21.11,2.64,19.93
118,2.1,24.37,2.6,23.39
119,3.53,43.71,2.65,17.2
120,3.99,30.17,3.13,23.97
121,3.82,29.86,3.67,22.43
122,3.48,28.45,-1.04,17.6
123,2.89,41.5,0.26,23.48
124,2.1,32.88,2.51,8.71
125,2.74,25.14,2.17,22.7
126,2.72,22.41,1.22,12.44
127,5.21,24.01,1.86,20.37
128,3.53,21.38,2.19,15.98
129,4.38,18.8,3.16,16.43
130,2.54,13.23,1.22,23.89
131,3.92,20.59,0.21,20.19
132,4.18,30.8,2.72,15.96
133,2.4,35.01,4.04,20.19
134,2.1,30.61,3.32,19.78
135,4.22,25.79,1.94,20.32
136,4.87,23.49,2.34,25.69
137,3.61,33.32,2.36,24.35
138,3.75,27.42,2.6,10.45
139,1.71,33.59,1.55,24.29
140,4.51,25.98,2.73,18.16
141,2.77,31.75,1.38,20.8
142,2.45,27.78,3.72,21.19
143,2.84,25.76,1.99,17.1
144,1.06,32.55,1.64,17.27
145,3.53,23.55,1.43,22.93
146,4.54,12.97,2.02,25.66
147,3.13,35.91,3.11,27.35
148,3.5,43.94,2.01,20.16
149,2.58,24.29,3.76,13.44
150,2.45,27.91,1.61,24.5
151,3.19,29.54,2.41,23.55
152,2.04,27.61,1.86,21.01
153,2.8,30.62,3.62,12.26
154,3.5,28.48,1.45,19.23
155,3.2,29.85,2.05,16.32
156,2.25,19.83,2.51,23.27
157,4.64,47.3,3.15,19.33
158,3.21,25.7,2.19,16.68
159,3.58,47.2,3.02,18.94
160,4.62,37.06,0.93,30.15
161,4.38,44.83,3.69,25.21
162,3.38,21.16,1.96,25.07
163,2.52,26.09,0.98,19.66
164,2.71,21.91,0.6,9.56
165,3.31,28.32,3.42,19.33
166,3.0,35.48,1.79,26.05
167,3.75,18.82,1.25,16.79
168,2.77,30.11,2.23,21.55
169,3.86,30.92,2.02,17.83
170,2.16,25.04,2.85,23.23
171,4.67,27.86,0.37,27.43
172,2.06,39.57,2.11,21.91
173,2.45,22.48,0.84,26.96
174,2.71,42.19,3.49,28.05
175,2.33,33.49,1.53,23.29
176,3.4,42.06,2.06,16.62
177,2.64,27.42,4.28,23.32
178,4.0,28.2,2.88,11.63
179,2.91,24.59,0.95,22.55
180,2.0,20.53,1.18,14.36
181,4.15,25.46,0.92,16.73
182,4.15,45.19,3.46,20.73
183,2.05,14.58,1.63,12.81
184,2.95,29.13,2.51,27.89
185,3.96,26.18,1.77,30.89
186,3.17,29.64,-0.11,19.69
187,3.83,23.94,2.8,28.67
188,1.32,28.05,1.94,25.39
189,1.09,35.68,0.61,13.99
190,4.06,33.01,1.49,14.01
191,3.97,30.08,1.53,11.95
192,2.14,22.82,2.45,19.65
193,2.23,36.08,-0.04,24.91
194,2.78,22.02,1.8,18.46
195,3.99,23.47,0.13,29.99
196,3.65,18.29,1.82,24.89
197,3.29,32.59,3.4,18.59
198,2.25,32.31,2.69,23.16
199,3.61,32.94,2.27,20.58
200,3.55,17.46,0.75,17.25
201,2.93,25.85,0.19,26.34
202,2.9,42.1,0.82,20.57
203,3.65,17.05,3.55,21.54
204,3.99,16.13,1.66,23.31
205,3.69,23.03,2.54,22.72
206,2.8,28.38,3.05,30.7
207,2.78,23.07,1.16,20.63
208,3.66,29.89,2.25,19.41
209,2.03,38.52,0.96,23.27
210,3.88,33.36,2.64,16.26
211,3.1,33.83,2.69,23.15
212,4.54,33.06,1.37,13.96
213,2.29,31.17,1.7,19.39
214,1.67,39.22,1.19,19.59
215,3.17,22.96,1.01,23.75
216,3.77,34.29,1.12,14.95
217,2.93,24.66,1.8,23.08
218,1.48,33.51,1.59,20.42
219,2.7,35.02,0.32,12.38
220,3.1,31.28,2.35,21.09
221,3.76,22.91,2.44,15.29
222,2.64,27.23,3.08,12.73
223,2.37,30.87,2.04,16.66
224,2.85,25.43,2.03,30.39
225,1.94,25.48,1.27,20.59
226,2.64,24.41,1.29,28.05
227,2.22,24.11,2.33,18.88
228,3.57,29.75,2.57,17.03
229,2.7,38.97,2.94,19.25
230,2.28,42.98,2.64,21.5
231,4.29,30.44,3.41,21.2
232,4.01,26.65,4.42,19.35
233,3.55,33.6,1.94,21.11
234,3.47,30.91,1.54,13.05
235,2.55,37.72,3.37,16.44
236,2.37,19.16,-0.31,18.88
237,3.1,25.15,1.75,22.13
238,1.87,31.92,2.51,18.94
239,2.24,38.1,1.45,15.25
240,3.59,30.93,2.81,9.7
241,3.51,22.48,2.65,19.72
242,2.25,28.65,3.19,17.18
243,2.64,30.11,1.44,27.83
244,2.7,42.29,1.31,14.17
245,2.61,33.41,0.48,23.38
246,3.78,29.14,1.12,28.02
247,2.12,29.68,2.56,20.33
248,2.65,24.65,3.32,21.69
249,3.01,46.44,1.98,18.43
250,3.49,31.08,3.32,23.0
251,4.78,22.64,2.71,17.57
252,3.34,25.29,2.13,11.12
253,2.4,28.29,1.48,16.12
254,2.61,27.47,1.73,26.65
255,3.78,31.21,2.5,16.24
256,2.25,27.5,2.9,25.76
257,4.7,32.7,2.56,22.79
258,4.71,34.35,2.16,21.22
259,4.37,29.81,0.34,27.54
260,4.86,38.03,-0.36,20.6
261,3.47,18.3,4.03,22.78
262,4.78,45.21,4.84,16.99
263,3.37,27.65,0.12,9.17
264,3.26,40.38,2.13,6.01
265,3.09,26.54,3.1,18.13
266,1.88,34.29,0.95,24.3
267,3.95,27.06,-0.59,24.07
268,4.03,36.28,1.17,20.23
269,2.18,34.18,2.95,19.39
270,3.1,30.42,-0.25,19.53
271,2.7,32.17,0.76,19.32
272,2.82,30.47,3.33,22.18
273,2.18,28.08,2.16,21.93
